_synchIndx	tIni	tEnd	nData	measuredTime	DRIFT
10	196442775	196444309	10	1	0
44	264822302	264828713	44	6	0
6	266627605	266628629	6	1	0
6	266845605	266846625	6	1	0
10	266974661	266976183	10	1	0
4	267049228	267049741	4	0	0
8	269905862	269907190	8	1	0
8	269992139	269993466	8	1	0
8	270249067	270250271	8	1	0
10	270280547	270281877	10	1	0
6	270441460	270442482	6	1	0
4	270469061	270469713	4	0	0
12	270527483	270529302	12	1	0
6	270640825	270641845	6	1	0
8	270766691	270768016	8	1	0
12	270954164	270955880	12	1	0
6	271150319	271151340	6	1	0
4	279715722	279716637	4	0	0
10	284124512	284126033	10	1	0
6	284224968	284225971	6	1	0
6	284301409	284302432	6	1	0
8	284346193	284347557	8	1	0
6	284384870	284385889	6	1	0
8	284562959	284564170	8	1	0
144	284562959	284757476	144	194	0
154	284562959	284944033	154	381	0
162	284562959	285205396	162	642	0
4	528882065	528882876	4	0	0
2	529299256	529299256	2	0	0
6	530547472	530548588	6	1	0
8	604834631	604836048	8	1	0
0	0	0	0	0	0
6	605318580	605319601	6	1	0
8	607059287	607060607	8	1	0
10	607198420	607199944	10	1	0
12	607241995	607243823	12	1	0
10	699731160	699732652	10	1	0
12	700378396	700380233	12	1	0
10	700438215	700439687	10	1	0
8	700775018	700776546	8	1	0
10	701274228	701275756	10	1	0
12	701308632	701310338	12	1	0
10	703873356	703874896	10	1	0
4	703976634	703977699	4	1	0
8	703999471	704000494	8	1	0
0	0	0	0	0	0
4	704032408	704033228	4	0	0
10	704082167	704083690	10	1	0
10	704567863	704569389	10	1	0
8	704583325	704584646	8	1	0
6	704728639	704729843	6	1	0
10	704788322	704790146	10	1	0
12	705346070	705348390	12	2	0
2	708089092	708089092	2	0	0
4	709565707	709566412	4	0	0
2	709621059	709621059	2	0	0
8	709637623	709638943	8	1	0
8	709792868	709794399	8	1	0
4	709810216	709810941	4	0	0
6	794246977	794248006	6	1	0
6	794557673	794558687	6	1	0
0	0	0	0	0	0
6	794625980	794626999	6	1	0
4	794646646	794647190	4	0	0
10	794731513	794733043	10	1	0
12	794838938	794840769	12	1	0
12	795368283	795370117	12	1	0
10	795531607	795533139	10	1	0
10	795564306	795565834	10	1	0
4	795715029	795715741	4	0	0
4	795790413	795790952	4	0	0
10	795806241	795807754	10	1	0
6	799893317	799894340	6	1	0
8	800073798	800075116	8	1	0
6	878653414	878654960	6	1	0
10	878675581	878677106	10	1	0
0	0	0	0	0	0
6	878720210	878721215	6	1	0
0	0	0	0	0	0
4	879194707	879195529	4	0	0
4	879296139	879296959	4	0	0
6	879498578	879499602	6	1	0
0	0	0	0	0	0
10	887855069	887856600	10	1	0
4	887944011	887945232	4	1	0
10	887953209	887954734	10	1	0
8	887971089	887972108	8	1	0
8	887981300	887982323	8	1	0
10	887991527	887992857	10	1	0
10	888439796	888441330	10	1	0
10	888728800	888730306	10	1	0
0	0	0	0	0	0
6	888787345	888788370	6	1	0
8	330572485	330573693	8	1	0
10	330597035	330598876	10	1	0
0	0	0	0	0	0
8	330677077	330678295	8	1	0
4	330687004	330687828	4	0	0
8	330707661	330708878	8	1	0
4	330719450	330720177	4	0	0
6	330808492	330809523	6	1	0
6	331005534	331006558	6	1	0
0	0	0	0	0	0
6	331146047	331147159	6	1	0
16	331146047	331175667	16	29	0
24	331146047	331249097	24	103	0
486	331146047	331364807	486	218	6.66893e-06
494	331146047	331415700	494	269	-5.54385e-06
